CustomerID,MonetaryValue,Frequency,LastInvoiceDate,Recency,R_Quartile,F_Quartile,M_Quartile,RFM_Score,Segment
12383.0,1628.56,5,2011-06-08 08:02:00,184,1,4,4,144,Cannot Lose Them
12384.0,425.27000000000004,2,2011-11-11 08:39:00,28,4,2,2,422,New Customers
12386.0,401.9,2,2011-01-06 12:37:00,337,1,2,2,122,At Risk
12388.0,2780.66,6,2011-11-24 12:30:00,15,4,5,5,455,Champions
12390.0,504.84000000000003,1,2011-09-21 09:33:00,79,2,1,3,213,Need Attention
12391.0,460.89,1,2011-11-18 12:07:00,21,4,1,2,412,New Customers
12393.0,1582.6000000000001,4,2011-09-28 15:41:00,71,3,4,4,344,Loyal Customers
12394.0,1080.48,2,2011-10-07 08:08:00,63,3,2,4,324,324
12395.0,2682.63,12,2011-11-20 15:21:00,18,4,5,5,455,Champions
12397.0,2214.9,2,2011-11-04 09:52:00,35,3,2,5,325,325
12398.0,1435.66,1,2011-10-25 10:27:00,45,3,1,4,314,Promising
12399.0,1033.65,4,2011-08-12 13:15:00,118,2,4,4,244,At Risk
12401.0,69.3,1,2011-02-09 13:50:00,302,1,1,1,111,Hibernating
12402.0,195.6,1,2011-01-20 13:49:00,322,1,1,1,111,Hibernating
12403.0,391.7,1,2011-10-21 10:51:00,49,3,1,2,312,Need Attention
12405.0,1390.39,1,2011-07-14 08:52:00,148,2,1,4,214,Cannot Lose Them
12406.0,3415.3,2,2011-11-17 19:22:00,21,4,2,5,425,Promising
12407.0,1507.1200000000001,5,2011-10-21 10:11:00,49,3,4,4,344,Loyal Customers
12408.0,2618.55,5,2011-11-07 12:27:00,32,4,4,5,445,Champions
12409.0,11072.67,3,2011-09-22 10:38:00,78,2,3,5,235,About to Sleep
12410.0,533.33,2,2011-02-04 10:39:00,308,1,2,3,123,At Risk
12412.0,1142.88,3,2011-09-26 10:16:00,74,2,3,4,234,At Risk
12413.0,686.1,3,2011-10-04 09:00:00,66,3,3,3,333,Potential Loyalists
12414.0,442.41,3,2011-05-06 14:51:00,216,1,3,2,132,At Risk
12415.0,124564.53,20,2011-11-15 14:22:00,23,4,5,5,455,Champions
12417.0,3226.1,9,2011-12-06 14:52:00,2,5,5,5,555,Champions
12418.0,668.58,1,2011-08-19 11:08:00,112,2,1,3,213,Need Attention
12420.0,600.39,1,2011-10-07 08:55:00,63,3,1,3,313,Promising
12421.0,639.04,4,2011-11-24 09:07:00,15,4,4,3,443,443
12422.0,683.5600000000001,3,2011-09-05 09:48:00,95,2,3,3,233,At Risk
12423.0,1634.31,8,2011-12-09 10:10:00,0,5,5,4,554,Champions
12424.0,1760.96,2,2011-06-30 12:06:00,162,2,2,4,224,At Risk
12425.0,777.2,1,2011-09-22 17:31:00,77,2,1,3,213,Need Attention
12426.0,510.73,1,2011-05-29 12:26:00,194,1,1,3,113,Cannot Lose Them
12427.0,699.8,3,2011-11-18 08:56:00,21,4,3,3,433,Potential Loyalists
12428.0,6405.26,8,2011-11-14 08:22:00,25,4,5,5,455,Champions
12429.0,3388.4,4,2011-11-30 17:22:00,8,5,4,5,545,Champions
12430.0,216.4,1,2011-10-27 15:09:00,42,3,1,1,311,New Customers
12431.0,6382.45,15,2011-11-04 11:55:00,35,3,5,5,355,Loyal Customers
12432.0,4359.32,4,2011-10-28 11:43:00,42,3,4,5,345,Loyal Customers
12433.0,13375.87,7,2011-12-09 10:02:00,0,5,5,5,555,Champions
12434.0,806.14,2,2011-09-16 12:38:00,84,2,2,3,223,At Risk
12435.0,7829.89,2,2011-09-21 09:06:00,79,2,2,5,225,At Risk
12436.0,429.01000000000005,1,2011-09-01 12:09:00,99,2,1,2,212,At Risk
12437.0,4447.41,18,2011-12-08 11:35:00,1,5,5,5,555,Champions
12438.0,2466.85,2,2011-11-25 13:28:00,13,5,2,5,525,Promising
12441.0,155.55,1,2010-12-08 10:45:00,366,1,1,1,111,Hibernating
12442.0,144.06,1,2011-12-06 14:22:00,2,5,1,1,511,New Customers
12444.0,4085.46,5,2011-11-18 13:23:00,20,4,4,5,445,Champions
12445.0,77.4,1,2011-11-17 18:43:00,21,4,1,1,411,New Customers
12446.0,1002.3100000000001,1,2011-10-13 12:50:00,57,3,1,4,314,Promising
12447.0,431.49,1,2011-04-10 13:25:00,242,1,1,2,112,Hibernating
12448.0,365.45,1,2011-10-26 13:46:00,43,3,1,2,312,Need Attention
12449.0,3596.29,4,2011-11-17 13:46:00,21,4,4,5,445,Champions
12450.0,197.88,2,2011-07-06 14:41:00,155,2,2,1,221,Need Attention
12451.0,8995.52,5,2011-11-29 08:40:00,10,5,4,5,545,Champions
12452.0,348.57,1,2011-11-23 08:05:00,16,4,1,2,412,New Customers
12453.0,707.09,1,2011-07-28 14:08:00,133,2,1,3,213,Need Attention
12454.0,3528.34,1,2011-10-14 17:13:00,55,3,1,5,315,Promising
12455.0,2339.86,5,2011-09-27 15:31:00,72,2,4,5,245,245
12456.0,2581.04,3,2011-10-26 14:41:00,43,3,3,5,335,Loyal Customers
12457.0,2043.23,6,2011-10-04 13:13:00,65,3,5,4,354,Loyal Customers
12458.0,787.4,2,2011-09-29 15:25:00,70,3,2,3,323,Potential Loyalists
12461.0,626.88,1,2011-07-08 10:23:00,154,2,1,3,213,Need Attention
12462.0,937.59,2,2011-11-21 09:11:00,18,4,2,4,424,Promising
12463.0,1200.78,4,2011-10-17 13:44:00,52,3,4,4,344,Loyal Customers
12464.0,957.05,8,2011-11-29 13:33:00,9,5,5,4,554,Champions
12465.0,682.1899999999999,2,2011-11-22 16:34:00,16,4,2,3,423,Potential Loyalists
12468.0,657.54,2,2011-06-05 11:36:00,187,1,2,3,123,At Risk
12471.0,17424.05,27,2011-12-07 15:43:00,1,5,5,5,555,Champions
12472.0,6068.11,7,2011-11-07 14:01:00,31,4,5,5,455,Champions
12473.0,2596.23,3,2011-10-17 11:27:00,53,3,3,5,335,Loyal Customers
12474.0,6745.79,18,2011-11-22 14:39:00,16,4,5,5,455,Champions
12475.0,669.38,1,2011-10-17 10:10:00,53,3,1,3,313,Promising
12476.0,5898.42,11,2011-11-24 12:40:00,15,4,5,5,455,Champions
12477.0,13219.74,6,2011-11-17 09:51:00,22,4,5,5,455,Champions
12478.0,545.99,1,2011-12-06 09:56:00,3,5,1,3,513,Promising
12479.0,473.2,1,2011-11-28 13:26:00,10,5,1,2,512,New Customers
12480.0,2885.63,4,2011-11-11 14:52:00,27,4,4,5,445,Champions
12481.0,5020.32,10,2011-11-17 08:29:00,22,4,5,5,455,Champions
12483.0,1910.98,8,2011-11-22 17:02:00,16,4,5,4,454,Champions
12484.0,3953.72,4,2011-11-04 15:18:00,34,3,4,5,345,Loyal Customers
12488.0,1244.66,3,2011-11-30 08:50:00,9,5,3,4,534,534
12489.0,298.93,1,2011-01-07 13:13:00,335,1,1,2,112,Hibernating
12490.0,4859.93,10,2011-12-04 16:07:00,4,5,5,5,555,Champions
12491.0,424.40000000000003,1,2011-11-01 12:18:00,38,3,1,2,312,Need Attention
12492.0,227.21,2,2011-10-07 15:15:00,62,3,2,1,321,Need Attention
12493.0,379.74,2,2011-06-27 10:17:00,165,2,2,2,222,At Risk
12494.0,1084.1000000000001,7,2011-11-24 09:34:00,15,4,5,4,454,Champions
12497.0,953.1,1,2011-09-19 12:29:00,81,2,1,4,214,Cannot Lose Them
12498.0,349.70000000000005,3,2011-11-18 12:53:00,20,4,3,2,432,Potential Loyalists
12500.0,4059.82,11,2011-11-16 16:20:00,22,4,5,5,455,Champions
12501.0,2025.39,1,2011-01-07 12:28:00,336,1,1,4,114,Cannot Lose Them
12502.0,2995.87,5,2011-09-05 11:52:00,95,2,4,5,245,245
12504.0,428.04999999999995,2,2011-11-21 16:02:00,17,4,2,2,422,New Customers
12506.0,73.5,1,2011-04-21 08:54:00,232,1,1,1,111,Hibernating
12507.0,1052.81,3,2011-07-28 17:09:00,133,2,3,4,234,At Risk
12508.0,398.27,2,2011-11-13 15:37:00,25,4,2,2,422,New Customers
12509.0,158.5,1,2011-02-28 14:45:00,283,1,1,1,111,Hibernating
12510.0,814.5699999999999,2,2011-07-20 10:15:00,142,2,2,3,223,At Risk
12512.0,138.03,2,2011-10-04 14:55:00,65,3,2,1,321,Need Attention
12513.0,558.29,1,2011-08-19 10:51:00,112,2,1,3,213,Need Attention
12514.0,1017.68,1,2011-03-17 16:38:00,266,1,1,4,114,Cannot Lose Them
12515.0,278.7,1,2010-12-21 15:43:00,352,1,1,2,112,Hibernating
12516.0,1186.06,2,2011-09-23 09:13:00,77,2,2,4,224,At Risk
12517.0,2322.84,4,2011-11-11 13:57:00,27,4,4,5,445,Champions
12518.0,1840.89,5,2011-12-09 10:13:00,0,5,4,4,544,Champions
12519.0,286.84,1,2011-10-07 09:26:00,63,3,1,2,312,Need Attention
12520.0,2346.2599999999998,5,2011-09-21 15:23:00,78,2,4,5,245,245
12521.0,545.68,1,2011-07-20 10:51:00,142,2,1,3,213,Need Attention
12522.0,156.72,2,2011-10-31 15:30:00,38,3,2,1,321,Need Attention
12523.0,1699.77,11,2011-11-20 12:55:00,18,4,5,4,454,Champions
12524.0,3945.72,8,2011-11-30 15:31:00,8,5,5,5,555,Champions
12526.0,1172.66,3,2011-12-09 12:09:00,0,5,3,4,534,534
12527.0,330.71000000000004,3,2011-09-19 11:55:00,81,2,3,2,232,232
12528.0,1645.48,6,2011-11-30 14:40:00,8,5,5,4,554,Champions
12530.0,1500.28,4,2011-10-11 12:34:00,59,3,4,4,344,Loyal Customers
12531.0,125.22,1,2011-11-25 11:12:00,14,4,1,1,411,New Customers
12532.0,313.83000000000004,1,2011-11-09 13:47:00,29,4,1,2,412,New Customers
12534.0,981.18,1,2011-08-01 10:26:00,130,2,1,4,214,Cannot Lose Them
12535.0,716.35,2,2011-09-09 08:48:00,91,2,2,3,223,At Risk
12536.0,4279.71,1,2011-10-11 14:52:00,58,3,1,5,315,Promising
12538.0,363.95,1,2011-11-10 17:16:00,28,4,1,2,412,New Customers
12539.0,5568.35,4,2011-11-17 13:30:00,21,4,4,5,445,Champions
12540.0,11580.24,17,2011-11-20 11:31:00,19,4,5,5,455,Champions
12541.0,841.18,3,2011-11-10 10:40:00,29,4,3,3,433,Potential Loyalists
12544.0,316.7,1,2011-11-03 16:15:00,35,3,1,2,312,Need Attention
12545.0,832.39,2,2011-09-25 13:39:00,74,2,2,3,223,At Risk
12546.0,1021.5,2,2011-10-24 12:09:00,46,3,2,4,324,324
12547.0,151.79999999999998,2,2011-05-26 12:38:00,197,1,2,1,121,Hibernating
12548.0,67.19999999999999,1,2011-06-26 15:35:00,165,2,1,1,211,At Risk
12550.0,824.83,1,2011-09-21 14:35:00,78,2,1,3,213,Need Attention
12551.0,168.0,1,2010-12-17 11:23:00,357,1,1,1,111,Hibernating
12552.0,317.82,1,2011-10-31 12:11:00,39,3,1,2,312,Need Attention
12553.0,3278.28,10,2011-12-01 16:38:00,7,5,5,5,555,Champions
12556.0,603.71,2,2011-10-20 13:06:00,49,3,2,3,323,Potential Loyalists
12557.0,11990.960000000001,5,2011-11-23 16:59:00,15,4,4,5,445,Champions
12558.0,269.96,1,2011-12-02 10:41:00,7,5,1,2,512,New Customers
12559.0,525.71,2,2011-02-02 09:49:00,310,1,2,3,123,At Risk
12560.0,1918.01,2,2011-12-04 13:54:00,4,5,2,4,524,Promising
12561.0,238.85,1,2011-02-10 11:39:00,302,1,1,1,111,Hibernating
12562.0,3385.7400000000002,7,2011-12-01 17:20:00,7,5,5,5,555,Champions
12564.0,402.9,1,2011-03-23 14:55:00,260,1,1,2,112,Hibernating
12565.0,145.92,1,2011-02-24 10:34:00,288,1,1,1,111,Hibernating
12566.0,297.65,1,2011-09-14 14:30:00,85,2,1,2,212,At Risk
12567.0,8609.28,10,2011-11-17 11:02:00,22,4,5,5,455,Champions
12569.0,3152.69,32,2011-12-07 16:24:00,1,5,5,5,555,Champions
12571.0,519.61,2,2011-10-31 10:19:00,39,3,2,3,323,Potential Loyalists
12572.0,912.42,2,2011-12-01 09:20:00,8,5,2,3,523,Promising
12573.0,160.54000000000002,1,2011-04-26 15:52:00,226,1,1,1,111,Hibernating
12574.0,182.45000000000002,1,2011-01-28 09:20:00,315,1,1,1,111,Hibernating
12576.0,1315.83,5,2011-11-04 10:11:00,35,3,4,4,344,Loyal Customers
12577.0,653.85,3,2011-11-04 13:24:00,34,3,3,3,333,Potential Loyalists
12578.0,2402.51,2,2011-11-18 13:30:00,20,4,2,5,425,Promising
12579.0,386.42,1,2011-09-22 17:15:00,77,2,1,2,212,At Risk
12580.0,379.7,1,2011-04-07 10:24:00,246,1,1,2,112,Hibernating
12581.0,179.71,1,2011-10-31 08:56:00,39,3,1,1,311,New Customers
12582.0,351.36,2,2011-04-15 08:45:00,238,1,2,2,122,At Risk
12583.0,6705.38,15,2011-12-07 08:07:00,2,5,5,5,555,Champions
12584.0,2254.15,9,2011-12-06 09:35:00,3,5,5,5,555,Champions
12585.0,1824.1,2,2011-04-19 13:39:00,233,1,2,4,124,124
12586.0,196.94000000000003,1,2011-11-22 16:24:00,16,4,1,1,411,New Customers
12587.0,104.0,1,2011-12-02 12:47:00,7,5,1,1,511,New Customers
12588.0,174.89999999999998,1,2011-10-31 15:01:00,38,3,1,1,311,New Customers
12589.0,574.68,2,2011-11-11 10:19:00,28,4,2,3,423,Potential Loyalists
12590.0,9341.26,1,2011-05-12 14:46:00,210,1,1,5,115,Cannot Lose Them
12591.0,368.85,1,2011-01-26 14:35:00,316,1,1,2,112,Hibernating
12592.0,401.6,2,2011-09-08 15:04:00,91,2,2,2,222,At Risk
12593.0,382.09999999999997,3,2011-08-23 12:43:00,108,2,3,2,232,232
12594.0,3208.2200000000003,9,2011-11-02 12:20:00,37,3,5,5,355,Loyal Customers
12596.0,450.27,2,2011-10-19 13:02:00,50,3,2,2,322,About to Sleep
12597.0,3195.22,4,2011-11-20 13:33:00,18,4,4,5,445,Champions
12598.0,2807.08,7,2011-11-30 12:18:00,9,5,5,5,555,Champions
12599.0,888.58,7,2011-11-10 13:34:00,28,4,5,3,453,Potential Loyalists
12600.0,2311.04,10,2011-11-11 10:29:00,28,4,5,5,455,Champions
12601.0,487.06,5,2011-06-03 10:17:00,189,1,4,3,143,At Risk
12602.0,153.12,1,2011-10-12 11:22:00,58,3,1,1,311,New Customers
12603.0,613.1999999999999,1,2011-11-18 10:42:00,21,4,1,3,413,New Customers
12604.0,236.18,2,2011-09-21 14:08:00,78,2,2,1,221,Need Attention
12607.0,1579.51,1,2011-10-10 16:06:00,59,3,1,4,314,Promising
12609.0,964.85,3,2011-09-22 16:34:00,77,2,3,4,234,At Risk
12610.0,1747.54,4,2011-11-17 09:34:00,22,4,4,4,444,Loyal Customers
12611.0,1193.32,1,2011-10-18 13:12:00,51,3,1,4,314,Promising
12612.0,668.0400000000001,1,2011-09-26 15:35:00,73,2,1,3,213,Need Attention
12613.0,3092.38,4,2011-10-13 14:59:00,56,3,4,5,345,Loyal Customers
12614.0,315.6,1,2011-03-07 10:22:00,277,1,1,2,112,Hibernating
12615.0,2093.19,4,2011-12-07 15:02:00,1,5,4,5,545,Champions
12616.0,641.3,2,2011-09-05 15:17:00,94,2,2,3,223,At Risk
12617.0,355.53,1,2011-11-10 14:39:00,28,4,1,2,412,New Customers
12618.0,137.31,1,2011-11-18 11:10:00,21,4,1,1,411,New Customers
12619.0,2945.56,8,2011-11-23 14:52:00,15,4,5,5,455,Champions
12620.0,1303.41,3,2011-11-25 10:20:00,14,4,3,4,434,434
12621.0,12411.67,20,2011-12-08 11:25:00,1,5,5,5,555,Champions
12622.0,162.1,1,2011-04-21 16:39:00,231,1,1,1,111,Hibernating
12623.0,269.1,1,2011-03-08 13:50:00,275,1,1,2,112,Hibernating
12624.0,569.13,2,2011-08-25 15:04:00,105,2,2,3,223,At Risk
12625.0,2413.82,2,2011-05-12 09:54:00,211,1,2,5,125,125
12626.0,5954.48,9,2011-11-16 16:06:00,22,4,5,5,455,Champions
12627.0,4082.53,6,2011-11-29 12:07:00,10,5,5,5,555,Champions
12628.0,732.46,3,2011-12-05 13:15:00,3,5,3,3,533,Potential Loyalists
12630.0,1030.88,2,2011-11-30 10:48:00,9,5,2,4,524,Promising
12631.0,480.5,1,2011-10-13 13:53:00,56,3,1,2,312,Need Attention
12633.0,1929.98,4,2011-10-12 11:40:00,58,3,4,4,344,Loyal Customers
12635.0,1509.18,2,2011-09-11 11:04:00,89,2,2,4,224,At Risk
12637.0,5823.9,8,2011-10-03 13:46:00,66,3,5,5,355,Loyal Customers
12638.0,511.69,1,2011-11-06 13:11:00,32,4,1,3,413,New Customers
12639.0,366.1,1,2011-04-15 12:48:00,238,1,1,2,112,Hibernating
12640.0,994.58,3,2011-11-16 11:52:00,23,4,3,4,434,434
12641.0,145.9,1,2011-08-16 13:26:00,114,2,1,1,211,At Risk
12642.0,905.26,3,2011-11-14 15:03:00,24,4,3,3,433,Potential Loyalists
12643.0,3041.64,6,2011-08-03 12:56:00,127,2,5,5,255,255
12644.0,477.91,1,2011-08-02 10:33:00,129,2,1,2,212,At Risk
12645.0,1631.18,4,2011-11-06 12:38:00,33,3,4,4,344,Loyal Customers
12646.0,1346.97,2,2011-12-05 10:14:00,4,5,2,4,524,Promising
12647.0,3146.82,12,2011-11-17 12:56:00,21,4,5,5,455,Champions
12648.0,300.05,1,2011-07-08 11:55:00,154,2,1,2,212,At Risk
12649.0,569.51,3,2011-08-24 14:41:00,106,2,3,3,233,At Risk
12650.0,242.44000000000003,1,2011-12-06 16:34:00,2,5,1,1,511,New Customers
12651.0,114.0,1,2011-01-09 12:46:00,334,1,1,1,111,Hibernating
12652.0,793.98,1,2011-01-12 15:00:00,330,1,1,3,113,Cannot Lose Them
12653.0,2209.85,2,2011-07-14 10:41:00,148,2,2,5,225,At Risk
12654.0,529.98,5,2011-11-29 10:10:00,10,5,4,3,543,Loyal Customers
12656.0,3619.17,5,2011-11-22 13:42:00,16,4,4,5,445,Champions
12657.0,1427.18,4,2011-11-28 15:47:00,10,5,4,4,544,Champions
12658.0,632.05,1,2011-11-21 10:22:00,18,4,1,3,413,New Customers
12659.0,73.68,1,2011-11-10 11:53:00,29,4,1,1,411,New Customers
12660.0,227.1,1,2011-11-28 13:26:00,10,5,1,1,511,New Customers
12662.0,3543.78,11,2011-12-09 11:59:00,0,5,5,5,555,Champions
12664.0,4391.88,9,2011-12-01 17:07:00,7,5,5,5,555,Champions
12665.0,45.0,1,2011-01-19 08:34:00,324,1,1,1,111,Hibernating
12667.0,460.13,1,2011-10-12 17:00:00,57,3,1,2,312,Need Attention
12668.0,3177.15,4,2011-11-28 10:56:00,11,5,4,5,545,Champions
12669.0,1427.73,2,2011-07-12 09:54:00,150,2,2,4,224,At Risk
12670.0,2744.05,5,2011-11-29 15:23:00,9,5,4,5,545,Champions
12672.0,225.89999999999998,1,2011-01-14 09:20:00,329,1,1,1,111,Hibernating
12673.0,574.52,2,2011-12-04 13:55:00,4,5,2,3,523,Promising
12674.0,1844.6,4,2011-11-01 12:12:00,38,3,4,4,344,Loyal Customers
12676.0,1091.39,6,2011-11-15 12:25:00,24,4,5,4,454,Champions
12678.0,16331.46,9,2011-10-28 13:04:00,41,3,5,5,355,Loyal Customers
12679.0,951.02,4,2011-10-12 12:30:00,58,3,4,4,344,Loyal Customers
12680.0,790.81,4,2011-12-09 12:50:00,0,5,4,3,543,Loyal Customers
12681.0,12365.54,22,2011-11-25 11:33:00,14,4,5,5,455,Champions
12682.0,11028.22,31,2011-12-06 10:00:00,3,5,5,5,555,Champions
12683.0,7612.57,14,2011-12-05 16:28:00,3,5,5,5,555,Champions
12684.0,2073.63,6,2011-12-02 09:53:00,7,5,5,5,555,Champions
12685.0,2575.08,6,2011-11-11 13:46:00,27,4,5,5,455,Champions
12686.0,71.14,1,2010-12-03 09:51:00,371,1,1,1,111,Hibernating
12688.0,4873.8099999999995,1,2011-08-18 08:49:00,113,2,1,5,215,Cannot Lose Them
12689.0,1139.61,2,2011-11-14 08:31:00,25,4,2,4,424,Promising
12690.0,335.01,1,2011-05-18 09:09:00,205,1,1,2,112,Hibernating
12691.0,927.8,5,2011-11-11 16:49:00,27,4,4,4,444,Loyal Customers
12693.0,711.91,4,2011-08-04 17:51:00,126,2,4,3,243,At Risk
12694.0,761.67,2,2011-09-30 13:06:00,69,3,2,3,323,Potential Loyalists
12695.0,582.1,4,2011-12-02 13:22:00,6,5,4,3,543,Loyal Customers
12697.0,757.59,3,2011-11-11 08:47:00,28,4,3,3,433,Potential Loyalists
12700.0,4525.99,4,2011-12-02 10:47:00,7,5,4,5,545,Champions
12701.0,725.71,2,2011-09-21 10:47:00,79,2,2,3,223,At Risk
12702.0,201.0,1,2011-11-20 10:36:00,19,4,1,1,411,New Customers
12703.0,265.55,1,2011-09-29 17:52:00,70,3,1,2,312,Need Attention
12704.0,1740.84,8,2011-12-02 13:15:00,6,5,5,4,554,Champions
12705.0,6382.29,8,2011-11-24 13:17:00,14,4,5,5,455,Champions
12707.0,603.42,1,2011-02-21 08:38:00,291,1,1,3,113,Cannot Lose Them
12708.0,2442.91,10,2011-11-10 09:52:00,29,4,5,5,455,Champions
12709.0,9430.52,15,2011-11-24 15:38:00,14,4,5,5,455,Champions
12710.0,1023.02,3,2011-09-04 12:00:00,96,2,3,4,234,At Risk
12712.0,3928.13,13,2011-11-11 08:19:00,28,4,5,5,455,Champions
12713.0,794.55,1,2011-12-09 12:16:00,0,5,1,3,513,Promising
12714.0,4294.86,5,2011-11-30 15:43:00,8,5,4,5,545,Champions
12715.0,273.86,1,2011-08-25 15:22:00,105,2,1,2,212,At Risk
12716.0,963.49,2,2011-12-06 08:55:00,3,5,2,4,524,Promising
12717.0,830.98,2,2011-07-11 14:47:00,150,2,2,3,223,At Risk
12718.0,202.25,1,2011-09-29 16:38:00,70,3,1,1,311,New Customers
12719.0,572.95,2,2011-12-04 13:45:00,4,5,2,3,523,Promising
12720.0,5115.7300000000005,25,2011-12-07 08:03:00,2,5,5,5,555,Champions
12721.0,2386.13,6,2011-11-08 12:13:00,31,4,5,5,455,Champions
12722.0,979.63,4,2011-09-15 14:50:00,84,2,4,4,244,At Risk
12723.0,707.07,5,2011-12-06 10:19:00,3,5,4,3,543,Loyal Customers
12724.0,923.41,4,2011-12-04 16:02:00,4,5,4,3,543,Loyal Customers
12725.0,371.8,1,2010-12-03 15:45:00,370,1,1,2,112,Hibernating
12726.0,2411.1,7,2011-11-11 13:35:00,27,4,5,5,455,Champions
12727.0,3440.7,7,2011-11-29 11:46:00,10,5,5,5,555,Champions
12728.0,728.33,4,2011-09-29 15:31:00,70,3,4,3,343,343
12729.0,417.01,1,2011-08-18 11:40:00,113,2,1,2,212,At Risk
12731.0,18751.91,12,2011-11-16 11:59:00,23,4,5,5,455,Champions
12732.0,218.26000000000002,1,2011-06-13 11:33:00,179,1,1,1,111,Hibernating
12733.0,383.95,1,2011-04-19 16:19:00,233,1,1,2,112,Hibernating
12734.0,110.39999999999999,1,2010-12-22 12:47:00,352,1,1,1,111,Hibernating
12735.0,689.5699999999999,2,2011-01-28 13:37:00,314,1,2,3,123,At Risk
12736.0,144.0,1,2011-01-11 07:57:00,332,1,1,1,111,Hibernating
12738.0,137.35,1,2010-12-02 18:27:00,371,1,1,1,111,Hibernating
12739.0,975.54,1,2011-09-01 17:45:00,98,2,1,4,214,Cannot Lose Them
12740.0,427.6,1,2011-10-07 10:44:00,63,3,1,2,312,Need Attention
12743.0,546.43,2,2011-07-28 16:21:00,133,2,2,3,223,At Risk
12744.0,9120.39,4,2011-10-14 14:54:00,55,3,4,5,345,Loyal Customers
12747.0,4196.01,11,2011-12-07 14:34:00,1,5,5,5,555,Champions
12748.0,32317.32,206,2011-12-09 12:20:00,0,5,5,5,555,Champions
12749.0,4040.88,5,2011-12-06 09:56:00,3,5,4,5,545,Champions
12750.0,275.88,1,2011-08-03 09:13:00,128,2,1,2,212,At Risk
12752.0,4366.78,1,2011-09-19 13:32:00,80,2,1,5,215,Cannot Lose Them
12753.0,21429.39,6,2011-11-17 10:52:00,22,4,5,5,455,Champions
12754.0,3010.74,3,2011-04-18 09:00:00,235,1,3,5,135,135
12755.0,3811.95,2,2011-03-04 12:42:00,280,1,2,5,125,125
12756.0,112.07999999999998,1,2011-09-14 09:31:00,86,2,1,1,211,At Risk
12757.0,4199.2,9,2011-11-24 12:30:00,15,4,5,5,455,Champions
12758.0,2791.59,2,2011-08-15 10:22:00,116,2,2,5,225,At Risk
12759.0,1411.44,3,2011-10-18 14:49:00,51,3,3,4,334,334
12762.0,1702.52,2,2011-12-02 10:23:00,7,5,2,4,524,Promising
12763.0,494.08,2,2011-07-24 14:12:00,137,2,2,3,223,At Risk
12764.0,1693.88,1,2011-01-27 10:19:00,316,1,1,4,114,Cannot Lose Them
12766.0,6457.63,7,2011-12-06 08:46:00,3,5,5,5,555,Champions
12769.0,1143.6,1,2011-04-15 10:25:00,238,1,1,4,114,Cannot Lose Them
12770.0,1351.45,1,2011-05-13 09:33:00,210,1,1,4,114,Cannot Lose Them
12772.0,752.47,1,2011-10-11 09:19:00,59,3,1,3,313,Promising
